 ,CASE NUMBER,DATE RECEIVED,ACCOUNT NAME,ACCOUNT DBA NAME,NAICS CODE,CASE STATUS,CLAIM AMOUNT,AMOUNT ASSESSED,PAYMENTS RECEIVED
,2011-0271,2011-06-20,MAHARAJA LLC                                                ,MAHARAJA LLC                                                ,,CLOSED,392.56,0,490.7
,2011-0273,2011-06-23,"FLOWER AND GARDEN. CC, INC.                                 ","FLOWER AND GARDEN. CC, INC.                                 ",,CLOSED,754,0,942.5
,2011-0274,2011-06-23,"USG SERVICES, INC.                                          ","USG SERVICES, INC.                                          ",,CLOSED,2210,0,1382.21
,2011-0276,2011-06-24,HEALTHCARE SERVICES GROUP                                   ,HEALTHCARE SERVICES GROUP                                   ,,CLOSED,196.6,0,245.75
,2011-0292,2011-06-29,"JOHNNY'S GETTY SERVICES, INC.                               ","JOHNNY'S GETTY SERVICES, INC.                               ",,CLOSED,1030.75,0,1199.31
,2011-0293,2011-06-29,INDIGO PIZZA                                                ,INDIGO PIZZA                                                ,,CLOSED,297.5,0,344.33
,2011-0301,2011-07-01,"AUTOMATIC TEMPERATURE CONTROLS, INC.                        ","AUTOMATIC TEMPERATURE CONTROLS, INC.                        ",,CLOSED,4200,0,2800
,2011-0320,2011-07-19,JOHN J. DESIMONE                                            ,JOHN J. DESIMONE                                            ,,CLOSED,769.28,0,576.96
,2011-0328,2011-07-22,"CENTRAL PARKING SYSTEM OF RI, INC.                          ","CENTRAL PARKING SYSTEM OF RI, INC.                          ",,CLOSED,155,0,371.25
,2011-0331,2011-07-25,WINGS OVER PROVIDENCE LLC                                   ,WINGS OVER PROVIDENCE LLC                                   ,,CLOSED,544.35,0,521.02
,2011-0336,2011-07-27,HURD AUTO MALL LLC                                          ,HURD AUTO MALL LLC                                          ,,CLOSED,423.65,0,87.5
,2011-0338,2011-07-27,SCUNGIO & PRIOLO                                            ,SCUNGIO & PRIOLO                                            ,,CLOSED,438.59,0,109.65
,2011-0340,2011-07-28,NORMAN'S RESTAURANT                                         ,NORMAN'S RESTAURANT                                         ,,CLOSED,176,0,44
,2011-0342,2011-08-01,"C.J. TREE SERVICE, INC.                                     ","C.J. TREE SERVICE, INC.                                     ",,CLOSED,1095,0,752.82
,2011-0349,2011-08-03,"FRITO LAY, INC.                                             ","FRITO LAY, INC.                                             ",,CLOSED,1800,0,0
,2011-0353,2011-08-05,"JACK'S FAMILY RESTAURANT, INC.                              ","JACK'S FAMILY RESTAURANT, INC.                              ",,CLOSED,558,0,144
,2011-0355,2011-08-09,HALLWORTH HOUSE                                             ,HALLWORTH HOUSE                                             ,,CLOSED,1120,0,560
,2011-0357,2011-08-10,THE WESTMINSTER LOFTS                                       ,THE WESTMINSTER LOFTS                                       ,,CLOSED,880,0,1100
,2011-0359,2011-08-11,LIQUID LLC                                                  ,LIQUID LLC                                                  ,,CLOSED,673,0,500
,2011-0363,2011-08-15,"HOOD SAILMAKERS, INC.                                       ","HOOD SAILMAKERS, INC.                                       ",,CLOSED,2170.67,0,1124.67
,2011-0367,2011-08-16,"UNIVERSAL AMBULANCE SERVICES, INC.                          ","UNIVERSAL AMBULANCE SERVICES, INC.                          ",,CLOSED,460,0,460
,2011-0368,2011-08-17,"HEALTHCARE SERVICES GROUP, INC.                             ","HEALTHCARE SERVICES GROUP, INC.                             ",,CLOSED,2120,0,1060
,2011-0369,2011-08-17,"HEALTHCARE SERVICES GROUP, INC.                             ","HEALTHCARE SERVICES GROUP, INC.                             ",,CLOSED,1968,0,983
,2011-0370,2011-08-17,"PMC LIGHTING, INC.                                          ","PMC LIGHTING, INC.                                          ",,CLOSED,64.4,0,894.07
,2011-0371,2011-08-17,"ST. JUDE HOME CARE, INC.                                    ","ST. JUDE HOME CARE, INC.                                    ",,CLOSED,1000.48,0,1500.72
,2011-0374,2011-08-19,"CASSISI II & LANDSCAPING CONSTRUCTION, INC.                 ","CASSISI II & LANDSCAPING CONSTRUCTION, INC.                 ",,CLOSED,220,0,275
,2011-0375,2011-08-19,"LEAH F. ADAMS M.D., INC.                                    ","LEAH F. ADAMS M.D., INC.                                    ",,CLOSED,182.87,0,87.58
,2011-0376,2011-08-19,"POWERCOMM SYSTEMS, INC.                                     ","POWERCOMM SYSTEMS, INC.                                     ",,CLOSED,1760,0,2200
,2011-0378,2011-08-23,FRITO-LAY                                                   ,FRITO-LAY                                                   ,,CLOSED,448.87,0,0
,2011-0379,2011-08-23,CUMBERLAND SCHOOL DEPARTMENT                                ,CUMBERLAND SCHOOL DEPARTMENT                                ,,CLOSED,4725,0,2362.5
,2011-0380,2011-08-24,BRADFORD PRINTING & FINISHING                               ,BRADFORD PRINTING & FINISHING                               ,,CLOSED,814,0,2116.4
,2011-0387,2011-08-30,ELOQUENCE JEWELRYS LLC                                      ,ELOQUENCE JEWELRYS LLC                                      ,,CLOSED,330,0,412.5
,2011-0388,2011-09-02,OCEAN STATE JOB LOT                                         ,OCEAN STATE JOB LOT                                         ,,CLOSED,375.6,0,362.8
,2011-0392,2011-09-12,"IMAG TECHNOLOGIES, INC.                                     ","IMAG TECHNOLOGIES, INC.                                     ",,CLOSED,840,0,160
,2011-0393,2011-09-12,J. ARTHUR TRUDEAU MEMORIAL CENTER                           ,J. ARTHUR TRUDEAU MEMORIAL CENTER                           ,,CLOSED,45,0,56.25
,2011-0428,2011-09-14,"JOHN S. BABCOCK PLUMBNING & HEATING CO., INC.               ","JOHN S. BABCOCK PLUMBNING & HEATING CO., INC.               ",,CLOSED,500,0,625
,2011-0408,2011-09-19,CAPTAIN NICK'S                                              ,CAPTAIN NICK'S                                              ,,CLOSED,300,0,300
,2011-0409,2011-09-19,"THE WETSEAL, INC.                                           ","THE WETSEAL, INC.                                           ",,CLOSED,46,0,57.5
,2011-0411,2011-09-19,"JOSEPH R. GAETA, MD                                         ","JOSEPH R. GAETA, MD                                         ",,CLOSED,1855,0,907.35
,2011-0419,2011-09-20,"HANNA INSTRUMENTS, USA                                      ","HANNA INSTRUMENTS, USA                                      ",,CLOSED,103.6,0,129.5
,2011-0414,2011-09-21,"TK ANODIZING, INC.                                          ","TK ANODIZING, INC.                                          ",,CLOSED,1160,0,1450
,2011-0415,2011-09-21,SHARK SUSHI BAR & GRILL                                     ,SHARK SUSHI BAR & GRILL                                     ,,CLOSED,600,0,600
,2011-0416,2011-09-21,"MCDONOUGH COMPANY, INC.                                     ","MCDONOUGH COMPANY, INC.                                     ",,CLOSED,1350,0,1687.5
,2011-0417,2011-09-22,FAT BELLY'S IRISH PUB                                       ,FAT BELLY'S IRISH PUB                                       ,,CLOSED,720,0,975
,2011-0420,2011-09-23,"SUMO SUSHI, INC.                                            ","SUMO SUSHI, INC.                                            ",,CLOSED,43.2,0,71.1
,2011-0421,2011-09-23,"RILLS COMPANY, LLC                                          ","RILLS COMPANY, LLC                                          ",,CLOSED,47.25,0,59.06
,2011-0433,2011-10-03,SYSTEMS 1 DIGITAL                                           ,SYSTEMS 1 DIGITAL                                           ,,CLOSED,2535,0,4224.24
,2011-0439,2011-10-05,"ENDURACARE THERAPY MANAGEMENT, INC.                         ","ENDURACARE THERAPY MANAGEMENT, INC.                         ",,CLOSED,462.63,0,553.68
,2011-0449,2011-10-05,"D & D TREE SERVICE, INC.                                    ","D & D TREE SERVICE, INC.                                    ",,CLOSED,1984.5,0,1461.25
,2011-0440,2011-10-07,MICROTECH STAFFING OF RI                                    ,MICROTECH STAFFING OF RI                                    ,,CLOSED,216,0,261
,2011-0442,2011-10-07,J. R. VINAGRO CORPORATION                                   ,J. R. VINAGRO CORPORATION                                   ,,CLOSED,960,0,640
,2011-0441,2011-10-12,"UNIVERSAL AUTO SALES, INC.                                  ","UNIVERSAL AUTO SALES, INC.                                  ",,CLOSED,203.09,0,87.37
,2011-0443,2011-10-13,MOHEGAN CAFE                                                ,MOHEGAN CAFE                                                ,,CLOSED,1283.6,0,1604.78
,2011-0444,2011-10-13,SUBWAY                                                      ,SUBWAY                                                      ,,CLOSED,12525,0,683.61
,2011-0445,2011-10-17,ENGLISH CELLAR ALEHOUSE                                     ,ENGLISH CELLAR ALEHOUSE                                     ,,CLOSED,673.08,0,168.27
,2011-0447,2011-10-17,WES-STOR CONTAINER & TRANSPORTATION                         ,WES-STOR CONTAINER & TRANSPORTATION                         ,,CLOSED,1100,0,825
,2011-0450,2011-10-19,BENEFIT STRATEGIES LLC                                      ,BENEFIT STRATEGIES LLC                                      ,,CLOSED,142.88,0,155.68
,2011-0451,2011-10-19,BENEFIT STRATEGIES LLC                                      ,BENEFIT STRATEGIES LLC                                      ,,CLOSED,134.24,0,76.72
,2011-0452,2011-10-20,"BENEFIT STRATEGIES, LLC                                     ","BENEFIT STRATEGIES, LLC                                     ",,CLOSED,69.24,0,76.9
,2011-0459,2011-10-27,"YIKE'S ENTERTAINMENT GROUP, INC.                            ","YIKE'S ENTERTAINMENT GROUP, INC.                            ",,CLOSED,68,0,70
,2011-0460,2011-10-28,"SMITHCO OIL SERVICE, INC.                                   ","SMITHCO OIL SERVICE, INC.                                   ",,CLOSED,3500,0,587.18
,2011-0461,2011-10-31,"YIKES ENTERTAINMENT GROUP, INC.                             ","YIKES ENTERTAINMENT GROUP, INC.                             ",,CLOSED,100,0,100
,2011-0462,2011-10-31,"MICROTECH STAFFING OF RI, INC.                              ","MICROTECH STAFFING OF RI, INC.                              ",,CLOSED,474,0,684.6
,2011-0464,2011-11-02,"LAMAJAK, INC.                                               ","LAMAJAK, INC.                                               ",,CLOSED,732.11,0,915.03
,2011-0465,2011-11-02,"TWO JERKS PUB (YIKES ENTERTAINMENT GROUP, INC.)             ","TWO JERKS PUB (YIKES ENTERTAINMENT GROUP, INC.)             ",,CLOSED,175,0,150
,2011-0467,2011-11-07,SPADYSSEY DAY SPA                                           ,SPADYSSEY DAY SPA                                           ,,CLOSED,362,0,452.5
,2011-0468,2011-11-07,"CORPORATE ART GROUP, INC.                                   ","CORPORATE ART GROUP, INC.                                   ",,CLOSED,292.5,0,356.25
,2011-0479,2011-11-14,NORWOOD GRILLE                                              ,NORWOOD GRILLE                                              ,,CLOSED,218.3,0,195.13
,2011-0483,2011-11-15,NARA HOOKAH BAR                                             ,NARA HOOKAH BAR                                             ,,CLOSED,250,0,120
,2011-0488,2011-11-16,CRANSTON CHAMBER OF COMMERCE                                ,CRANSTON CHAMBER OF COMMERCE                                ,,CLOSED,14076.87,0,3884.6
,2011-0490,2011-11-22,"TASCA VOLVO, INC.                                           ","TASCA VOLVO, INC.                                           ",,CLOSED,807.3,0,1009.13
,2011-0492,2011-11-28,WINKFLASH                                                   ,WINKFLASH                                                   ,,CLOSED,121.5,0,124.88
,2011-0493,2011-11-28,MICHAEL'S PAINTING                                          ,MICHAEL'S PAINTING                                          ,,CLOSED,1960,0,1500
,2011-0494,2011-11-28,SARA'S GLAM SQUAD SALON                                     ,SARA'S GLAM SQUAD SALON                                     ,,CLOSED,606,0,538.5
,2011-0497,2011-11-30,FRANKLY'S PIZZA PLACE                                       ,FRANKLY'S PIZZA PLACE                                       ,,CLOSED,840,0,840
,2011-0498,2011-11-30,INN SEASONS RESORT                                          ,INN SEASONS RESORT                                          ,,CLOSED,125,0,111.9
,2011-0500,2011-12-01,"CONFLICT RESOLUTION TRAINING, INC.                          ","CONFLICT RESOLUTION TRAINING, INC.                          ",,CLOSED,892.86,0,692.16
,2011-0502,2011-12-02,PROVANT HEALTH SERVICES                                     ,PROVANT HEALTH SERVICES                                     ,,CLOSED,192.5,0,195.65
,2011-0503,2011-12-02,MCDONALD'S CORPORATION                                      ,MCDONALD'S CORPORATION                                      ,,CLOSED,111,0,22.5
,2011-0508,2011-12-08,RI STONEWORK                                                ,RI STONEWORK                                                ,,CLOSED,330,0,270
,2011-0509,2011-12-08,CARDI MATERIALS LLC                                         ,CARDI MATERIALS LLC                                         ,,CLOSED,10000,0,12500
,2011-0510,2011-12-09,PARKSIDE ROTISSERIE & BAR                                   ,PARKSIDE ROTISSERIE & BAR                                   ,,CLOSED,198,0,247.5
,2011-0512,2011-12-12,"C.J. TREE, INC.                                             ","C.J. TREE, INC.                                             ",,CLOSED,440,0,504
,2011-0515,2011-12-14,CLINICAL ASSESSMENT                                         ,CLINICAL ASSESSMENT                                         ,,CLOSED,500,0,750
,2011-0516,2011-12-14,"DIAMOND STAFFING SERVICES, INC.                             ","DIAMOND STAFFING SERVICES, INC.                             ",,CLOSED,64,0,64
,2011-0518,2011-12-16,"S & D RESTAURANT, INC.                                      ","S & D RESTAURANT, INC.                                      ",,CLOSED,300,0,375
,2011-0522,2011-12-21,"CONFLICT RESOLUTION TRAINING, INC.                          ","CONFLICT RESOLUTION TRAINING, INC.                          ",,CLOSED,2684,0,1964
,2011-0525,2011-12-27,"OFFSHORE EXPRESS, INC.                                      ","OFFSHORE EXPRESS, INC.                                      ",,CLOSED,210,0,262.5
,2012-0584,2012-01-02,EP ENTERPRISES (KIRBY)                                      ,EP ENTERPRISES (KIRBY)                                      ,,CLOSED,480,0,1057.5
,2012-0001,2012-01-03,FIRST NATIONAL DEVELOPMENT RI                               ,FIRST NATIONAL DEVELOPMENT RI                               ,,CLOSED,800,0,1152.25
,2012-0003,2012-01-05,HDG WILLIAM CONTRERAS (WEM)                                 ,HDG WILLIAM CONTRERAS (WEM)                                 ,,CLOSED,2000,0,1700
,2012-0005,2012-01-06,"THE MAINSTAY INN, LTD                                       ","THE MAINSTAY INN, LTD                                       ",,CLOSED,435,0,543.75
,2012-0006,2012-01-09,"CAPITOL HOME CARE, INC.                                     ","CAPITOL HOME CARE, INC.                                     ",,CLOSED,2000,0,2158
,2012-0010,2012-01-10,DUNKIN DONUTS                                               ,DUNKIN DONUTS                                               ,,CLOSED,294.5,0,335
,2012-0020,2012-01-18,"ELIZABETH OF PORTOFINO, INC.                                ","ELIZABETH OF PORTOFINO, INC.                                ",,CLOSED,260,0,115.17
,2012-0022,2012-01-20,PROVIDENCE SCHOOL                                           ,PROVIDENCE SCHOOL                                           ,,CLOSED,520,0,650
,2012-0023,2012-01-23,"CLEMENT'S MARKETPLACE, INC.                                 ","CLEMENT'S MARKETPLACE, INC.                                 ",,CLOSED,1080,0,1350
,2012-0026,2012-01-25,"THE CHILDREN'S PLACE, INC.                                  ","THE CHILDREN'S PLACE, INC.                                  ",,CLOSED,33,0,42.18
,2012-0028,2012-01-26,KERRI'S KAFE                                                ,KERRI'S KAFE                                                ,,CLOSED,140,0,175
,2012-0030,2012-01-27,"DYNAMIC MARKERTING SOLUTIONS, INC.                          ","DYNAMIC MARKERTING SOLUTIONS, INC.                          ",,CLOSED,150.4,0,188
,2012-0032,2012-01-31,"DYNAMIC MARKETING SOLUTIONS, INC.                           ","DYNAMIC MARKETING SOLUTIONS, INC.                           ",,CLOSED,150.4,0,192
,2012-0034,2012-01-31,BLACK STALLION BAR & GRILL                                  ,BLACK STALLION BAR & GRILL                                  ,,CLOSED,710.94,0,303.46
,2012-0039,2012-02-06,"BOUNDLESS PLAYGROUNDS, INC.                                 ","BOUNDLESS PLAYGROUNDS, INC.                                 ",,CLOSED,4307,0,4417.11
,2012-0040,2012-02-06,BROWN & HOPKINS COUNTRY STORE                               ,BROWN & HOPKINS COUNTRY STORE                               ,,CLOSED,100,0,125
,2012-0042,2012-02-07,"ELLEN H. FRANKEL, M.D., INC.                                ","ELLEN H. FRANKEL, M.D., INC.                                ",,CLOSED,2940,0,4410
,2012-0046,2012-02-08,"OMNI PRO, INC.                                              ","OMNI PRO, INC.                                              ",,CLOSED,180,0,137.5
,2012-0048,2012-02-13,"HAIR CUTTERY (CREATIVE HAIRDRESSER, INC.)                   ","HAIR CUTTERY (CREATIVE HAIRDRESSER, INC.)                   ",,CLOSED,917.6,0,1119.25
,2012-0058,2012-02-17,NATCO PRODUCTS CORP.                                        ,NATCO PRODUCTS CORP.                                        ,,CLOSED,1986,0,1820.5
,2012-0067,2012-02-29,CVS STORE #689                                              ,CVS STORE #689                                              ,,CLOSED,285,0,18.75
,2012-0073,2012-03-02,WM H. HARRIS                                                ,WM H. HARRIS                                                ,,CLOSED,18000,0,22500
,2012-0074,2012-03-05,"STORK'S NEST CHILD AVADEMY, INC.                            ","STORK'S NEST CHILD AVADEMY, INC.                            ",,CLOSED,1941.94,0,16.41
,2012-0075,2012-03-05,"T.L.R. SECURITY SERVICES, INC.                              ","T.L.R. SECURITY SERVICES, INC.                              ",,CLOSED,224,0,56
,2012-0076,2012-03-05,WM H. HARRIS                                                ,WM H. HARRIS                                                ,,CLOSED,18000,0,22500
,2012-0078,2012-03-06,AMARAL AUTOMATION ASSOCIATES                                ,AMARAL AUTOMATION ASSOCIATES                                ,,CLOSED,2307.69,0,1153.84
,2012-0084,2012-03-07,"HEALTHCARE SERVICES GROUP, INC.                             ","HEALTHCARE SERVICES GROUP, INC.                             ",,CLOSED,380,0,712.5
,2012-0085,2012-03-12,NORTHERN RI COLLAVORATIVE                                   ,NORTHERN RI COLLAVORATIVE                                   ,,CLOSED,38.91,0,45.55
,2012-0088,2012-03-14,"HEALTHCARE SERVICES GROUP, INC.                             ","HEALTHCARE SERVICES GROUP, INC.                             ",,CLOSED,610.5,0,288.75
,2012-0089,2012-03-14,HAIR CUTTERY                                                ,HAIR CUTTERY                                                ,,CLOSED,2101,0,3110.31
,2012-0090,2012-03-14,NEWPORT PUBLIC SCHOOLS                                      ,NEWPORT PUBLIC SCHOOLS                                      ,,CLOSED,39574.94,0,0
,2012-0093,2012-03-15,MCDONALD'S                                                  ,MCDONALD'S                                                  ,,CLOSED,88.8,0,75.58
,2012-0094,2012-03-15,IN & OUT VALET CO.                                          ,IN & OUT VALET CO.                                          ,,CLOSED,1999,0,4491
,2012-0100,2012-03-21,"METRO HONDA, INC.                                           ","METRO HONDA, INC.                                           ",,CLOSED,350,0,437.5
,2012-0103,2012-03-26,WESTCHESTER PROPERTIES LLC                                  ,WESTCHESTER PROPERTIES LLC                                  ,,CLOSED,150,0,150
,2012-0104,2012-03-26,ROSETTA STONE LTD.                                          ,ROSETTA STONE LTD.                                          ,,CLOSED,454.72,0,339.38
,2012-0105,2012-03-26,CARDIOVASCULAR INSTITUTE OF NE                              ,CARDIOVASCULAR INSTITUTE OF NE                              ,,CLOSED,3420,0,4275
,2012-0107,2012-03-27,OCEAN STATE HOUSE CLEANING                                  ,OCEAN STATE HOUSE CLEANING                                  ,,CLOSED,110,0,137.5
,2012-0113,2012-03-29,MET-CAP MANAGEMENT LLC                                      ,MET-CAP MANAGEMENT LLC                                      ,,CLOSED,406.82,0,508.53
,2012-0119,2012-04-02,ENCORE ELECTRIC                                             ,ENCORE ELECTRIC                                             ,,CLOSED,693.75,0,867.19
,2012-0120,2012-04-02,WICKFORD DENTAL ASSOCIATES                                  ,WICKFORD DENTAL ASSOCIATES                                  ,,CLOSED,840.5,0,1088.25
,2012-0126,2012-04-06,ADVANCED SECURITY GROUP                                     ,ADVANCED SECURITY GROUP                                     ,,CLOSED,366,0,457.43
,2012-0128,2012-04-06,"NORTH-EASTERN TREE SERVICE, INC.                            ","NORTH-EASTERN TREE SERVICE, INC.                            ",,CLOSED,952.5,0,768.75
,2012-0129,2012-04-06,WONDERLAND EARLY LEARNING CENTER                            ,WONDERLAND EARLY LEARNING CENTER                            ,,CLOSED,1110,0,362.5
,2012-0130,2012-04-06,WONDERLAND EARLY LEARNING CENTER                            ,WONDERLAND EARLY LEARNING CENTER                            ,,CLOSED,708,0,312
,2012-0137,2012-04-11,"AMERICAN WINDOW ENTERPRISES, INC.                           ","AMERICAN WINDOW ENTERPRISES, INC.                           ",,CLOSED,741.84,0,931
,2012-0139,2012-04-12,CRESTA                                                      ,CRESTA                                                      ,,CLOSED,85.26,0,76.48
,2012-0142,2012-04-16,"CONCORD HOME CARE, INC.                                     ","CONCORD HOME CARE, INC.                                     ",,CLOSED,350,0,525
,2012-0149,2012-04-17,"A.D.S. AVIATION MAINTENANCE, INC.                           ","A.D.S. AVIATION MAINTENANCE, INC.                           ",,CLOSED,6195,0,0
,2012-0154,2012-04-19,"FRITO LAY, INC.                                             ","FRITO LAY, INC.                                             ",,CLOSED,9000,0,0
,2012-0178,2012-04-20,"TRAVERS PLUMBING & HEATING, INC.                            ","TRAVERS PLUMBING & HEATING, INC.                            ",,CLOSED,714,0,892.5
,2012-0183,2012-04-24,HAIR CUTTERY                                                ,HAIR CUTTERY                                                ,,CLOSED,2812,0,2177.45
,2012-0184,2012-04-24,FINOR COMPANY                                               ,FINOR COMPANY                                               ,,CLOSED,281.2,0,19.43
,2012-0185,2012-04-25,PROVIDENCE COFFEE ROASTERS                                  ,PROVIDENCE COFFEE ROASTERS                                  ,,CLOSED,11692,0,30905.64
,2012-0192,2012-05-01,"ORTHOPAEDIC ASSOCIATES, INC.                                ","ORTHOPAEDIC ASSOCIATES, INC.                                ",,CLOSED,6.5,0,8.13
,2012-0201,2012-05-07,"CONSTRUCTION PERFORMANCE, INC.                              ","CONSTRUCTION PERFORMANCE, INC.                              ",,CLOSED,4294,0,557
,2012-0204,2012-05-08,"COASTAL COLLISION, INC.                                     ","COASTAL COLLISION, INC.                                     ",,CLOSED,1176,0,840
,2012-0214,2012-05-08,"MATOS BAKERY, INC.                                          ","MATOS BAKERY, INC.                                          ",,CLOSED,73.13,0,84.38
,2012-0221,2012-05-09,"CINCO PLUMBING & HEATING, INC.                              ","CINCO PLUMBING & HEATING, INC.                              ",,CLOSED,4176,0,6496
,2012-0232,2012-05-14,NORWOOD GRILL                                               ,NORWOOD GRILL                                               ,,CLOSED,76.5,0,114.75
,2012-0238,2012-05-16,NATIONAL CHAIN COMPANY                                      ,NATIONAL CHAIN COMPANY                                      ,,CLOSED,271,0,338.75
,2012-0239,2012-05-17,EFFIE FILIPPOU'S TWISTED PIZZA                              ,EFFIE FILIPPOU'S TWISTED PIZZA                              ,,CLOSED,244.63,0,45.13
,2012-0241,2012-05-17,HURD AUTO MALL                                              ,HURD AUTO MALL                                              ,,CLOSED,420,0,525
,2012-0245,2012-05-18,"NE COMMUNICATIONS, INC.                                     ","NE COMMUNICATIONS, INC.                                     ",,CLOSED,1856,0,2112
,2012-0249,2012-05-23,SARNO & SON TUXEDOS                                         ,SARNO & SON TUXEDOS                                         ,,CLOSED,624,0,750
,2012-0266,2012-05-30,THE FLOREZ GROUP DBA DRUPAL CONNECT                         ,THE FLOREZ GROUP DBA DRUPAL CONNECT                         ,,CLOSED,825,0,1031.25
,2012-0383,2012-06-05,RI CENTER FOR PERFORMING                                    ,RI CENTER FOR PERFORMING                                    ,,CLOSED,630,0,112.5
,2012-0384,2012-06-05,ARBORCARE OF NE                                             ,ARBORCARE OF NE                                             ,,CLOSED,1288,0,480
,2012-0390,2012-06-05,"FRITO-LAY, INC.                                             ","FRITO-LAY, INC.                                             ",,CLOSED,7500,0,0
,2012-0386,2012-06-06,VFW POST 4487                                               ,VFW POST 4487                                               ,,CLOSED,140,0,35
,2012-0391,2012-06-11,METRO CHRYSLER JEEP DODGE                                   ,METRO CHRYSLER JEEP DODGE                                   ,,CLOSED,700,0,231.25
,2012-0394,2012-06-12,LA PESCANA MEAT MARKET                                      ,LA PESCANA MEAT MARKET                                      ,,CLOSED,1127.85,0,122.19
,2012-0402,2012-06-15,"MILLBROOK REEL, INC.                                        ","MILLBROOK REEL, INC.                                        ",,CLOSED,244,0,53.68
,2012-0404,2012-06-15,"JEAT RI, INC.                                               ","JEAT RI, INC.                                               ",,CLOSED,252.5,0,63.13
,2012-0405,2012-06-15,"M & G TRUCKING & TRANSPORTATION, INC.                       ","M & G TRUCKING & TRANSPORTATION, INC.                       ",,CLOSED,1350,0,1350
,2012-0406,2012-06-18,"MOBIL (ADRIANA GROUP., INC.)                                ","MOBIL (ADRIANA GROUP., INC.)                                ",,CLOSED,100,0,112
,2012-0407,2012-06-18,"IMPERIAL RESTORATION, INC.                                  ","IMPERIAL RESTORATION, INC.                                  ",,CLOSED,550,0,137.5
,2012-0409,2012-06-19,"FOREVER GREEN LANDSCAPING, INC.                             ","FOREVER GREEN LANDSCAPING, INC.                             ",,CLOSED,500,0,125
,2012-0410,2012-06-19,TALU'S CAFE                                                 ,TALU'S CAFE                                                 ,,CLOSED,490,0,122.5
,2012-0411,2012-06-19,SERPRO OF NORTHERN RI                                       ,SERPRO OF NORTHERN RI                                       ,,CLOSED,400.52,0,246
,2012-0414,2012-06-20,"COLONIAL MILLS, INC.                                        ","COLONIAL MILLS, INC.                                        ",,CLOSED,1116.2,0,3099.6
,2012-0417,2012-06-22,DREAM CENTER MATRESSES                                      ,DREAM CENTER MATRESSES                                      ,,CLOSED,146.7,0,115.2
,2012-0420,2012-06-25,CHAMELEONS                                                  ,CHAMELEONS                                                  ,,CLOSED,678,0,1317.55
,2012-0421,2012-06-26,"FIBERGLASS FABRICATORS, INC.                                ","FIBERGLASS FABRICATORS, INC.                                ",,CLOSED,93004,0,1500
,2012-0423,2012-06-26,ELLA'S RESTAURANT                                           ,ELLA'S RESTAURANT                                           ,,CLOSED,100,0,25
,2012-0432,2012-06-29,AMEDISY'S PROVIDENCE                                        ,AMEDISY'S PROVIDENCE                                        ,,CLOSED,15327.35,0,15292.08
,2012-0438,2012-07-06,G & F SECURITY LLC                                          ,G & F SECURITY LLC                                          ,,CLOSED,944,0,1888
,2012-0444,2012-07-11,"NURSING PLACEMENT, INC.                                     ","NURSING PLACEMENT, INC.                                     ",,CLOSED,36148,0,3200
,2012-0452,2012-07-18,"GUY CLERMONT PLUMBING & HEATING, INC.                       ","GUY CLERMONT PLUMBING & HEATING, INC.                       ",,CLOSED,138,0,276
,2012-0457,2012-07-26,LINC FACILITY SERVICES LLC                                  ,LINC FACILITY SERVICES LLC                                  ,,CLOSED,20000,0,6000
,2012-0469,2012-08-01,LINC FACILITY SERVICES                                      ,LINC FACILITY SERVICES                                      ,,CLOSED,10283,0,6000
,2012-0471,2012-08-02,"ABM INDUSTRIES, INC.                                        ","ABM INDUSTRIES, INC.                                        ",,CLOSED,1875,0,6000
,2012-0475,2012-08-06,"AJI ENTERPRISES, INC.                                       ","AJI ENTERPRISES, INC.                                       ",,CLOSED,774,0,1758
,2012-0486,2012-08-14,"ABM INDUSTRIES, INC.                                        ","ABM INDUSTRIES, INC.                                        ",,CLOSED,4126.12,0,6000
,2012-0491,2012-08-15,"GLOBAL AUTO SALES, INC.                                     ","GLOBAL AUTO SALES, INC.                                     ",,CLOSED,22815,0,5000
,2012-0498,2012-08-22,"BONNET PETRO, INC.                                          ","BONNET PETRO, INC.                                          ",,CLOSED,2321.25,0,4642.5
,2012-0499,2012-08-22,ARLEN CORPORATION                                           ,ARLEN CORPORATION                                           ,,CLOSED,170,0,255
,2012-0500,2012-08-23,"FREEMAN'S FOOD SERVICE, INC.                                ","FREEMAN'S FOOD SERVICE, INC.                                ",,CLOSED,1120,0,4619.47
,2012-0501,2012-08-24,RI FRUIT & SYRUP CO.                                        ,RI FRUIT & SYRUP CO.                                        ,,CLOSED,480,0,944
,2012-0505,2012-08-27,NE PEST CONTROL/ BIG BLUE BUG                               ,NE PEST CONTROL/ BIG BLUE BUG                               ,,CLOSED,2157.6,0,3384.2
,2012-0508,2012-08-28,"EXPRESS FREIGHT HANDLERS, INC.                              ","EXPRESS FREIGHT HANDLERS, INC.                              ",,CLOSED,422.77,0,845.54
,2012-0510,2012-08-29,JAMES P. HOWE                                               ,JAMES P. HOWE                                               ,,CLOSED,31.94,0,63.88
,2012-0512,2012-08-31,US SECURITY ASSOCIATES                                      ,US SECURITY ASSOCIATES                                      ,,CLOSED,1350,0,798.76
,2012-0513,2012-08-31,ABM JANITORIAL                                              ,ABM JANITORIAL                                              ,,CLOSED,760,0,1520
,2012-0515,2012-09-06,BRITAY'S DELI                                               ,BRITAY'S DELI                                               ,,CLOSED,76.5,0,138.54
